country,iso,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,AFG,41145.509567762165,40587.1682652738,39644.60011671567,39821.306913888475,40641.75567129334,40790.72793176673,40783.48735557064,40889.18171125802,40957.70950995052,41224.45371162441,41311.64232791185,41440.499395670064,40958.641197868,41117.84776191058,41142.08458582746,40631.405076995106,40349.71281824462,39859.64045610218,39159.45822958218,38542.05022811511,38021.98744137814,37459.329658505216,36869.00378242513,36445.743379617175,36061.411117942946,35738.50377381765,35457.680384898624,35170.36799340978
Albania,ALB,19705.66936705215,20149.402652130728,19867.350630788016,19491.852562852524,19000.659250879085,19028.898811182153,19318.44934660485,19430.541036608076,19305.17339234801,19458.564416828533,19604.168804201447,19403.009231012737,19496.799229605567,19663.18324234489,19696.420305632677,19575.764260617372,19375.51262977955,18891.183042384037,18828.739553665193,18552.74655653661,18323.320213074487,18228.961994458343,18096.201896435778,18004.151046879004,17969.368461776106,17867.383756845033,17756.106860547883,17651.92325198537
Algeria,DZA,24240.76145344126,23818.21963312997,23461.220477245824,23170.923019526657,22883.71599577531,22647.68322880294,22419.46449944392,22254.59930839621,22020.513420069507,21970.321381594033,21836.24537238559,21629.65514394487,21438.036242301812,21283.77168040378,21139.26929600703,20968.55769475826,20794.697703028316,20634.41626091081,20450.584204459057,20263.178487852176,20071.894583359935,19892.686143546543,19664.883103540207,19574.39474424615,19523.88974845976,19392.658544986138,19173.201177303665,18908.099563565655
American Samoa,ASM,25498.55229147699,25539.62715609843,25548.832339786077,25478.920017669072,25501.183788082744,25520.155311431663,25544.309828190308,25589.003949240625,25625.2585163719,25638.943239823144,25576.05090369624,25604.850720168288,25678.60188040379,25763.036704268816,25864.252448212144,25918.15270836807,25979.589577522976,25976.770021103323,25943.931849860295,26011.861245668428,25921.700648880553,25928.500088390105,25896.271911916436,25850.02825410213,25752.380149213062,25812.23635345319,25747.680150274948,25679.44582347545
Andean Latin America,NA,20442.18465738069,20214.76543447369,20409.375778269805,20315.108970895108,20069.133747101325,19943.808811445775,19719.45790172997,19443.52838106799,19290.44734027993,18920.527779412692,18687.151050178552,18258.77722073801,18286.27405815917,18330.860623196535,18202.02553704831,18095.07085739831,17832.58966824834,17643.660724339334,17611.006224265395,17707.390235924828,17599.528333663704,17359.37621069405,17092.641026230853,16809.879731393732,16518.53230096362,16306.238073025976,16249.058316335277,16157.10231173024
Andorra,AND,17722.44952561529,17620.57577001929,17583.999355225937,17433.711422500317,17340.680245676325,17123.839246162475,16923.13140281519,16683.461834860784,16490.869878499583,16291.13260138719,16153.07739138082,16008.02806109276,15860.73137839532,15787.698199038488,15763.267942267708,15688.554162848031,15582.952995621525,15522.167085006822,15445.70399776634,15419.749358040495,15360.774392725609,15317.607948498064,15286.002849379212,15251.795430041751,15201.764325724049,15119.404590713431,15119.103882580182,15100.282250506623
Angola,AGO,30917.400390725514,30920.38622598722,30923.551725622223,31120.254257304543,31232.97335495336,30994.179090908776,30301.066053610142,29969.7125085155,30666.452422309576,30174.768764460212,29889.992170452508,29368.68528621707,28940.833047818785,28708.679679438377,28760.411258350472,28089.921486883257,27632.978175117372,27000.725354499435,26552.923582882577,26085.868487442716,25702.309075648045,25340.892454434248,25057.03345210404,24716.693941180907,24140.497036868874,23947.28325067311,23702.225972351094,23507.04969906385
Antigua and Barbuda,ATG,20749.97068824113,20611.284720221167,20622.80993211997,20644.11733942421,20643.5194720735,20676.299384642894,20581.010788839347,20494.910563136717,20308.072069509933,20152.44233914989,20013.097890013716,19806.301397175364,19619.917370445783,19449.97492227867,19267.04385162945,19100.71736208406,18959.07579356965,18756.80901688768,18629.359131277582,18509.45359419221,18495.426390768003,18472.00410826835,18446.033754934662,18388.775985714816,18418.55236293338,18343.800571619508,18297.649601125533,18248.94481685945
Argentina,ARG,22714.253932640506,22459.019446141418,22461.199221153292,22109.837139445513,21729.701252582407,21578.286386467425,21569.842376577,21351.18764417189,21236.22050850879,21153.66388903501,20592.293848054494,20453.028114148332,20498.540316754566,20376.036869713444,19828.17706355008,19508.217256558182,19403.82851994405,19617.02242981247,19244.16961470275,19132.33682174882,18911.18903631649,18818.320650719103,18713.891829460765,18612.245649664575,18372.268706616916,18234.990238203576,18264.812954285266,18216.625516149383
Armenia,ARM,24102.785380116424,24681.840269805693,25421.997338421876,25652.566101433214,25364.62754068487,24945.720020512857,24623.644918034264,24046.123265453523,23605.09963943559,23382.8917241643,23083.951601409433,22946.574642412885,23008.93599216119,22926.76196993625,22670.18843053997,22549.82271040062,22427.77986786848,22134.698503378695,22198.12411469547,22144.877905379977,21952.050680112716,21604.308487298196,21178.920034173207,20753.516218456916,20546.784302454264,20498.34632362556,20327.84036014889,20244.42114152005
Australasia,NA,19965.08853549298,19545.723877646487,19430.800967327337,19086.75723199375,18984.27796414296,18766.52304892799,18612.119170186543,18366.56171330374,18092.37591192307,17872.87813663464,17592.57119111461,17278.97820438167,17102.860954687934,16829.85137306016,16571.648357577586,16326.497603804328,16136.708521705332,16121.918678449563,16028.171499211245,15897.433984464082,15728.195690428682,15586.849639471891,15372.923453356543,15299.57399783391,15336.808088214604,15347.48549341668,15334.01909312635,15400.405786377169
Australia,AUS,19702.75529185773,19286.531824216538,19179.125283729547,18794.414225856195,18766.05866652837,18482.951786892456,18356.61013162143,18138.20412896511,17911.801033310436,17658.319089771474,17400.606726353548,17067.558037656385,16873.285813786373,16595.044408083777,16343.80663222642,16118.080147537272,15928.264278742445,15923.228673990894,15844.815871998828,15732.118608324849,15574.521252718316,15432.82708171501,15199.491566386068,15141.712610572697,15185.622133815235,15222.901460709129,15212.403240885402,15280.04817621742
Austria,AUT,20262.759112787364,20252.206248699666,20074.19204276052,19916.67051534388,19610.38219218217,19380.70074125821,19216.313414322063,18785.94396297661,18615.29069534056,18380.92800327974,18147.30056942002,17813.513931283414,17622.700446259078,17524.529442833962,17228.266352200713,17046.21665349374,16704.67836858872,16631.78622938077,16494.39040831587,16625.038248109588,16481.781741119554,16322.40451030218,16128.04276393702,15977.88948405574,15848.30374864538,15745.582358580536,15578.157725585244,15491.638042681416
Azerbaijan,AZE,24304.9867870663,25189.091523173956,26637.24965996494,27492.20031643131,28438.745251069824,28267.547385336427,28256.94155351449,27965.002046798865,27773.91178656029,27435.506383473745,27093.450662362255,27007.518464464814,27355.267981668203,27797.41979330797,27723.554749592593,27824.51547899207,27562.468825582793,26978.12918925939,26789.933583856473,26530.89592221565,26386.83665024553,26183.631456784984,25919.400484895148,25600.64624641195,25347.796818950897,25118.434662573454,25012.17309633691,24970.643134533457
Bahamas,BHS,23220.204813538698,22913.130010659155,22666.935008869,22635.9768046704,22618.860426478997,22577.572895102672,22743.18270941344,22169.281220968413,21851.698140434382,21999.52667277014,21679.28770652932,21576.121368615975,21102.86166782844,20849.28673030377,20839.29201199559,20654.79759904212,20892.818993909743,20676.6994538624,20743.66528487634,20881.832331688584,20877.27287228223,20917.74710115132,20819.29195096832,20792.53338194372,20808.65851405142,20826.473608270233,20793.453989594214,20746.259041011737
Bahrain,BHR,28456.356387568245,28636.491521266384,28763.206187198222,28587.60025889287,28322.895492442283,28107.676645573058,27796.52967922947,27579.42830232088,27066.350727238187,26081.78858335995,24864.771559578523,24111.91424240635,23482.68874250595,23378.118599916103,23006.01686997983,22188.590290273085,21296.131924937643,20730.08658123352,20089.312401536085,19473.45308962555,19099.39001022185,18846.08974081725,18644.74334737232,18401.40998340238,18183.96912828997,18031.048001388193,17875.215576447335,17743.544832970856
Bangladesh,BGD,26665.22388856981,25597.10547661826,25531.4197109273,25148.456077490704,24806.860212730066,24878.106240969995,24560.976373023208,24263.66508564961,23980.833448283305,23787.563195033836,23925.37973841745,23887.549068276283,23912.628445042257,24046.576971543484,24024.96011444599,24092.760396883437,24112.60465599393,24251.162554602575,24186.712263875983,23766.09452294784,23545.275935846337,22891.56083172065,22320.553431836128,21928.000301866796,21747.41504545304,21444.602931419013,21247.74398380599,21147.72527035431
Barbados,BRB,20816.72937472767,20841.45561436684,20745.495705003515,20679.316794822997,20756.287928381706,20476.91528382017,20189.49920873194,20224.485779353072,20038.33975537059,19784.375844521954,19577.32754800626,19153.536850622448,19223.754438511543,19220.349473698072,19162.756609437405,19102.52394303445,18904.900274796502,18713.06548979901,18580.25220760595,18358.47025992725,18296.206533618773,18250.767475977085,18092.751942984505,18079.418388892595,18119.890404693935,18111.161154609952,18075.80312272611,18058.85753436744
Belarus,BLR,24866.181454134698,25311.776213785848,25915.833090166034,27290.51124255111,27406.661162475855,27960.092579094,27772.83878101728,27884.74913642352,28233.059352172557,28625.711170648472,27582.87404709088,28309.91444984788,29167.759579869617,28428.831338835615,27917.01328579418,28100.491261573847,27271.58191150992,26224.523019494507,26006.787620139105,25965.53462049852,26108.156360405825,26101.59337175137,24089.229413863533,23668.078489510353,23153.838817361146,22399.188839007667,22144.404524782647,22130.881109497575
Belgium,BEL,20356.550369506636,20150.85345445194,20038.565495493945,19881.186969696195,19716.14128601236,19481.3267427696,19157.09231855144,19016.794326056337,18856.413006567873,18684.174812278896,18561.648374896264,18340.12518827145,18216.00558464907,18007.470358882667,17684.228321618473,17572.012050968282,17286.21968339345,17311.81458302818,17275.710672040794,17134.102263958386,16953.419799491086,16869.69585640829,16801.98523930866,16630.44947402546,16322.552820145169,16283.17817798366,16062.49030132119,15967.368238980562
Belize,BLZ,20359.6305372151,20301.797156881676,20326.493178994337,20419.68898734928,20552.235873407524,20808.71421136249,21271.16453723109,21667.556697776316,22065.6900698977,22268.66715581866,22075.52630652051,21529.588614202665,21384.10844326412,21248.729227062377,20929.72421796497,20661.53624498261,20459.27070096956,20131.689215848044,19888.20334404965,19831.71142571361,19730.74317667978,19667.31037631209,19530.50476759764,19482.33110904769,19469.812776798994,19542.7860947682,19589.834378781572,19532.607751090956
