country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,19.4,19.200001,18.799999,18.4,17.9,17.4,17,16.299999,15.9,16,15.7,16.1,16,17.299999,18.6,20.1,21.9,23.6,25.200001,27,28.9
Africa,19.299999,19,18.6,18.1,17.799999,17.6,17.6,17.5,17.6,18,18.4,18.799999,19.1,19.4,19.799999,20.4,21.200001,22.1,23,23.9,24.799999
Albania,21.200001,20.6,20.200001,19.700001,19.6,20.200001,21.4,22.799999,24.1,24.700001,27.1,29.200001,32.299999,36.200001,38,39.799999,41.5,43.299999,45.299999,47.5,49.5
Algeria,19.4,18.6,17.9,16.6,16.4,16.5,16.700001,17.1,18,19.4,21.700001,24.1,26,27.5,29.1,30.6,31.799999,32.700001,33.700001,35.099998,37
Angola,19.799999,18.799999,17.9,16.799999,16.700001,16.6,16.200001,16,15.8,16,16.200001,16.299999,16.299999,16.4,16.799999,17.4,18.1,18.799999,19.5,20.200001,21.1
Antigua and Barbuda,20.6,20,18.1,18.200001,18.700001,19.799999,21.799999,23.4,24.4,26.700001,28.299999,28.5,29.299999,30.700001,32.099998,33.5,35.099998,36.700001,38.200001,39.5,40.5
Argentina,25.700001,26.299999,26.9,27.200001,27.4,27.4,27.299999,27.299999,27.200001,27.4,27.9,28.700001,29.9,30.799999,31.9,33,34.099998,35.099998,36.200001,37.400002,38.5
Armenia,22.4,22.700001,22.4,20.6,20.299999,21.799999,23.5,25.299999,27.200001,29.4,30.6,31.799999,32.900002,33.900002,35.700001,38,40.400002,42.599998,44.299999,45,45.5
Aruba,18.5,18.1,18.1,19.1,20.799999,23.9,26,28,31.200001,32.5,34.400002,36.200001,38.400002,40.099998,41.200001,41.5,41.099998,41.700001,42.5,43.400002,44
Asia,22.1,21.299999,20.799999,19.9,19.5,20.1,21,22,23,24.4,26,27.4,28.799999,30.299999,32.099998,33.799999,35.299999,36.5,37.700001,38.700001,39.700001
Australia,30.4,30.200001,29.6,28.4,27.4,28.1,29.299999,30.700001,32.099998,33.599998,35.400002,36.599998,36.900002,37.400002,37.900002,38.900002,39.799999,40.599998,41,41.200001,41.5
Australia/New Zealand,30.200001,29.9,29.200001,27.9,27.1,27.799999,29.1,30.5,31.9,33.400002,35.200001,36.400002,36.900002,37.400002,37.900002,38.900002,39.799999,40.700001,41.200001,41.400002,41.700001
Austria,35.700001,35.099998,35.400002,34.700001,33.599998,33.900002,35,35.799999,36.5,36.299999,38.200001,40,41.900002,43.200001,44.400002,45.299999,46.5,47.700001,48.799999,49.700001,49.900002
Azerbaijan,21.700001,22.1,22,19.1,18.200001,19.1,20.9,22.799999,24.1,24.6,25.6,27.1,28.700001,30.299999,32.400002,34.599998,36.700001,38.299999,39.200001,39.5,40
Bahamas,20.700001,20.1,19.299999,18.700001,19.1,19.700001,20.200001,21.799999,23.6,25,27,29.1,30.9,32.5,34.299999,36.099998,38,39.799999,41.299999,42.099998,42.700001
