country,Code,median
Afghanistan,AFG,18.6
Africa,NA,19.799999
Albania,ALB,38
Algeria,DZA,29.1
Angola,AGO,16.799999
Antigua and Barbuda,ATG,32.099998
Argentina,ARG,31.9
Armenia,ARM,35.700001
Aruba,ABW,41.200001
Asia,NA,32.099998
Australia,AUS,37.900002
Australia/New Zealand,NA,37.900002
Austria,AUT,44.400002
Azerbaijan,AZE,32.400002
Bahamas,BHS,34.299999
Bahrain,BHR,32.400002
Bangladesh,BGD,27.5
Barbados,BRB,39.799999
Belarus,BLR,40.299999
Belgium,BEL,41.799999
Belize,BLZ,25
Benin,BEN,18.799999
Bhutan,BTN,28.6
Bolivia,BOL,25.4
Bosnia and Herzegovina,BIH,42.5
Botswana,BWA,25.799999
Brazil,BRA,33.5
Brunei,BRN,32.400002
Bulgaria,BGR,44.700001
Burkina Faso,BFA,17.6
Burundi,BDI,17.5
Cambodia,KHM,25.6
Cameroon,CMR,18.799999
Canada,CAN,41.400002
Cape Verde,CPV,25.700001
Caribbean,NA,31.9
Central African Republic,CAF,18.299999
Central America,NA,28.299999
Central Asia,NA,27.9
Chad,TCD,16.700001
Channel Islands,OWID_CIS,44
Chile,CHL,35.400002
China,CHN,38.700001
Colombia,COL,32.200001
Comoros,COM,20.4
Congo,COG,19
Costa Rica,CRI,33.599998
Cote d'Ivoire,CIV,18.700001
Croatia,HRV,44
Cuba,CUB,43.099998
Curacao,CUW,41.700001
Cyprus,CYP,37.299999
Czechia,CZE,43.299999
Democratic Republic of Congo,COD,17
Denmark,DNK,42.299999
Djibouti,DJI,25.4
Dominican Republic,DOM,27.6
Eastern Africa,NA,18.700001
Eastern Asia,NA,39.599998
Eastern Europe,NA,40.799999
Ecuador,ECU,28.1
Egypt,EGY,25.299999
El Salvador,SLV,27.6
Equatorial Guinea,GNQ,22.4
Eritrea,ERI,19.299999
Estonia,EST,42.700001
Eswatini,SWZ,21.5
Ethiopia,ETH,19.799999
Europe,NA,42.700001
Fiji,FJI,28.6
Finland,FIN,42.799999
France,FRA,42
French Guiana,GUF,25.299999
French Polynesia,PYF,32.700001
Gabon,GAB,23.1
Gambia,GMB,17.5
Georgia,GEO,38.700001
Germany,DEU,46.599998
Ghana,GHA,21.1
Greece,GRC,45.299999
Grenada,GRD,29.4
Guadeloupe,GLP,43.400002
