country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,18.0925424449,18.2949306618,18.4289082377,18.4834398113,18.4811937273,18.4636475241,18.4398054041,18.402616486600003,18.3613363512,18.2780645897,18.1379507663,17.9588490364,17.7888249685,17.6479111993,17.5399139833,17.4443175961,17.3571101606,17.275369381799997,17.203450300100002,17.1362996378,17.073037011700002,17.0177075521,16.9551694404,16.9095152365,16.868402166499997,16.830856836
Albania,11.042431842,11.0626818081,11.0783114859,11.0882841041,11.0900794854,11.0866764158,11.0821969354,11.0737711095,11.0635937675,11.0533612696,11.0424667409,11.0284185695,11.0171081983,11.0002005223,10.9813293826,10.961920098,10.9434852914,10.9307548567,10.9177234859,10.907697833,10.9017225286,10.8957368005,10.8888280089,10.8833788983,10.8772359253,10.8771176907
Algeria,14.7075988175,14.7089430941,14.7128369541,14.7136964403,14.7109066353,14.7044377514,14.7023659828,14.7000692997,14.6961988995,14.6880443675,14.6738400709,14.6493466515,14.6278761596,14.6085534312,14.5869297531,14.5622748239,14.5413464068,14.5234415041,14.5128028316,14.5111151608,14.507678406899998,14.5148553514,14.5178871225,14.5238817673,14.5340841594,14.5480154061
American Samoa,10.8336064209,10.83597724,10.8400841068,10.8440451973,10.8471104718,10.8524429073,10.8558320197,10.8610461703,10.8612917468,10.8641941211,10.8626158409,10.8615380111,10.8640913695,10.8638615717,10.8643450664,10.8675378892,10.8710401411,10.8756494964,10.8755232558,10.8753170346,10.8746590484,10.8729874999,10.8726313694,10.870501731,10.8680855622,10.8680774975
Andean Latin America,12.3733970605,12.3838448875,12.3936269929,12.4003482594,12.404104388,12.4003222474,12.3948473142,12.3869024943,12.3818531234,12.3818492234,12.3860058594,12.3918537093,12.3992751068,12.4022903437,12.4029115086,12.3986062669,12.3958572753,12.3967198858,12.3956781851,12.3948355441,12.3943910615,12.3964399679,12.3953271264,12.3985484448,12.4006352409,12.4034599669
Andorra,14.7233102135,14.7156188059,14.7258105827,14.7375495516,14.740240435,14.740939324,14.7388585584,14.7371479338,14.7419095802,14.7483898969,14.7516721544,14.7457732525,14.7363452941,14.7344409644,14.7246180631,14.7139254897,14.7025377499,14.6938174427,14.6939017317,14.7213688599,14.7202465567,14.7225359793,14.7209717011,14.7171789347,14.7173903818,14.7179040524
Angola,12.51384317,12.5226569516,12.5291865658,12.5347951653,12.5341927024,12.5340907418,12.5345740877,12.531368183,12.5324546804,12.5249572212,12.5063892285,12.4867084973,12.4616466029,12.4484273072,12.4363511502,12.4217263793,12.4123378934,12.4038113804,12.4003188238,12.3970032966,12.3979742237,12.3957789198,12.3943218821,12.396675753,12.392752088,12.398913329200001
Antigua and Barbuda,13.1491219655,13.1474137927,13.1479300491,13.1502102847,13.154833312,13.162217903,13.174484563,13.1799694739,13.1858476499,13.1927203307,13.198722645800002,13.2037271343,13.2076059499,13.2080421565,13.2074057301,13.2068447732,13.204343393099998,13.202850385,13.2011694643,13.2054427686,13.2111425862,13.2123429322,13.2167768106,13.2213611781,13.2289258427,13.2382813283
Argentina,15.5212808204,15.5367047601,15.5520353556,15.5645283238,15.576191307199998,15.5854820688,15.5934226004,15.607245268,15.6169462189,15.6305016665,15.6466874403,15.6610405397,15.6759316035,15.683627859,15.6846842763,15.6861931156,15.6906153038,15.6915467669,15.6956241608,15.6981676134,15.7028335675,15.7097121738,15.715807410900002,15.7238087719,15.7289372947,15.7382665508
Armenia,10.6617904598,10.6725058611,10.681709525,10.691822789,10.7025735984,10.7235561135,10.742611675,10.764208654,10.7774581897,10.7792939833,10.777302619,10.7696910024,10.758299052,10.7488700933,10.7383896226,10.7211987776,10.7048666851,10.6917244323,10.6815097037,10.6781773576,10.6745802865,10.6727661295,10.6778334803,10.6803562445,10.6890016623,10.6976474732
Australasia,18.258773422,18.3087958807,18.3448286927,18.3618343659,18.3720325861,18.3745861954,18.3740429331,18.3813343435,18.3972332821,18.4524979593,18.5461521821,18.6587731397,18.7508377945,18.7931748006,18.7886281249,18.7518806489,18.7031831906,18.6569326977,18.6306785714,18.6144273921,18.5967504244,18.5664554052,18.5394432249,18.5048862189,18.4699987123,18.4344388084
Australia,18.195548597,18.2461346712,18.2796626012,18.2904070592,18.2898619706,18.2766071442,18.259963858200003,18.2570193488,18.2703314968,18.3340405701,18.4429751203,18.574190034999997,18.6814643721,18.7306162234,18.7332147657,18.7098732745,18.6769496342,18.64235421,18.6185674911,18.5986754467,18.5773419443,18.5414187409,18.5090896502,18.4670826662,18.424844346,18.3812834362
Austria,14.6697204262,14.6787791656,14.683044805000002,14.6840355242,14.6786291816,14.6543123569,14.6245078688,14.5942759099,14.5693493285,14.5482016149,14.525809934200002,14.5041017336,14.4825965994,14.4656116768,14.447628922299998,14.4249170299,14.4024074224,14.3861184512,14.373780404600002,14.3704758521,14.3684483364,14.3660779231,14.3609017354,14.3576318739,14.3577367372,14.3621360785
Azerbaijan,10.4729228907,10.470248752,10.4731926154,10.4805980532,10.5011940732,10.5344498519,10.5664018952,10.5939726884,10.6066960886,10.6011647749,10.5905904923,10.5707995817,10.5528539041,10.5351273839,10.5101415494,10.4775425746,10.4436904276,10.4188031415,10.4063811969,10.4068142761,10.4079607225,10.4134442081,10.4210264013,10.427953318,10.4424031199,10.458851198
Bahamas,13.3477970486,13.3420824426,13.337737657099998,13.3382148591,13.3360864609,13.3413402543,13.3422061015,13.341984194,13.3431784868,13.3455077654,13.3455332263,13.346381246799998,13.3452806076,13.3479041197,13.346873249800002,13.3410869936,13.3392734285,13.3380470048,13.335651381,13.3381531423,13.3374746416,13.3379003663,13.3404274277,13.3436702844,13.3496697502,13.354575487
Bahrain,14.6205234952,14.6390828966,14.6513814032,14.6487858749,14.6416250774,14.6358228725,14.6279412744,14.6202200097,14.6053320926,14.5887701986,14.5645133789,14.529994294099998,14.4952695703,14.454022049,14.4125217481,14.3634111271,14.3169358333,14.2684557094,14.2304176222,14.2050374381,14.1874152882,14.1692639105,14.1542857235,14.1374409537,14.1278254961,14.1241709851
